NCM,NCM_DESCRICAO_ORIGINAL,NCM_DESCRICAO_HIERARQUICA
03019210,Para reprodução,Peixes e crustáceos - Peixes vivos - Para reprodução
03019290,Outras,Peixes e crustáceos - Peixes vivos - Outras
03019310,Para reprodução,Peixes e crustáceos - Peixes vivos - Para reprodução
03019390,Outras,Peixes e crustáceos - Peixes vivos - Outras
03019410,Para reprodução,Peixes e crustáceos - Peixes vivos - Para reprodução
03019490,Outras,Peixes e crustáceos - Peixes vivos - Outras
03019510,Para reprodução,Peixes e crustáceos - Peixes vivos - Para reprodução
03019590,Outros,Peixes e crustáceos - Peixes vivos - Outros
03019911,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
03019912,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
03019919,Outros,Peixes e crustáceos - Peixes vivos - Outros
03019991,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
03019992,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
03019999,Outros,Peixes e crustáceos - Peixes vivos - Outros
03021100,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)","Peixes e crustáceos - Peixes frescos ou refrigerados - Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
03021300,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)","Peixes e crustáceos - Peixes frescos ou refrigerados - Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)"
03021400,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho),Peixes e crustáceos - Peixes frescos ou refrigerados - Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)
03021900,-- Outros,Peixes e crustáceos - Peixes frescos ou refrigerados - Outros
03022100,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","Peixes e crustáceos - Peixes frescos ou refrigerados - Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
03022200,-- Solha (Pleuronectes platessa),Peixes e crustáceos - Peixes frescos ou refrigerados - Solha (Pleuronectes platessa)
03022300,-- Linguados (Solea spp.),Peixes e crustáceos - Peixes frescos ou refrigerados - Linguados (Solea spp.)
03022400,-- Pregado (Psetta maxima),Peixes e crustáceos - Peixes frescos ou refrigerados - Pregado (Psetta maxima)
03022900,-- Outros,Peixes e crustáceos - Peixes frescos ou refrigerados - Outros
03023100,-- Albacora-branca (atum) (Thunnus alalunga),Peixes e crustáceos - Peixes frescos ou refrigerados - Albacora-branca (atum) (Thunnus alalunga)
03023200,-- Albacora-laje (atum) (Thunnus albacares),Peixes e crustáceos - Peixes frescos ou refrigerados - Albacora-laje (atum) (Thunnus albacares)
03023300,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis),Peixes e crustáceos - Peixes frescos ou refrigerados - Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
03023400,-- Albacora-bandolim (atum) (Thunnus obesus),Peixes e crustáceos - Peixes frescos ou refrigerados - Albacora-bandolim (atum) (Thunnus obesus)
03023500,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)","Peixes e crustáceos - Peixes frescos ou refrigerados - Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)"
03023600,-- Atum-azul do sul (atum) (Thunnus maccoyii),Peixes e crustáceos - Peixes frescos ou refrigerados - Atum-azul do sul (atum) (Thunnus maccoyii)
03023900,-- Outros,Peixes e crustáceos - Peixes frescos ou refrigerados - Outros
03024100,"-- Arenques (Clupea harengus, Clupea pallasii)","Peixes e crustáceos - Peixes frescos ou refrigerados - Arenques (Clupea harengus, Clupea pallasii)"
03024210,Anchoita (Engraulis anchoita),Anchoita (Engraulis anchoita)
03024290,Outros,Peixes e crustáceos - Peixes frescos ou refrigerados - Outros
03024300,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)","Peixes e crustáceos - Peixes frescos ou refrigerados - Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)"
03024400,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)","Peixes e crustáceos - Peixes frescos ou refrigerados - Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
03024500,-- Carapaus (Trachurus spp.),Peixes e crustáceos - Peixes frescos ou refrigerados - Carapaus (Trachurus spp.)
03024600,-- Bijupirá (Cobia*) (Rachycentron canadum),Peixes e crustáceos - Peixes frescos ou refrigerados - Bijupirá (Cobia*) (Rachycentron canadum)
03024700,-- Espadarte (Xiphias gladius),Peixes e crustáceos - Peixes frescos ou refrigerados - Espadarte (Xiphias gladius)
03024910,"Espadins, marlins, veleiros (Istiophoridae)","Espadins, marlins, veleiros (Istiophoridae)"
03024990,Outros,Peixes e crustáceos - Peixes frescos ou refrigerados - Outros
03025100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)","Peixes e crustáceos - Peixes frescos ou refrigerados - Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
03025200,-- Hadoque (Arinca*) (Melanogrammus aeglefinus),Peixes e crustáceos - Peixes frescos ou refrigerados - Hadoque (Arinca*) (Melanogrammus aeglefinus)
03025300,-- Saithe (Escamudo*) (Pollachius virens),Peixes e crustáceos - Peixes frescos ou refrigerados - Saithe (Escamudo*) (Pollachius virens)
03025400,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)","Peixes e crustáceos - Peixes frescos ou refrigerados - Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)"
03025500,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),Peixes e crustáceos - Peixes frescos ou refrigerados - Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
03025600,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)","Peixes e crustáceos - Peixes frescos ou refrigerados - Verdinhos (Micromesistius poutassou, Micromesistius australis)"
03025900,-- Outros,Peixes e crustáceos - Peixes frescos ou refrigerados - Outros
03027100,-- Tilápias (Oreochromis spp.),Peixes e crustáceos - Peixes frescos ou refrigerados - Tilápias (Oreochromis spp.)
03027210,Bagre americano (Ictalurus punctatus),Bagre americano (Ictalurus punctatus)
03027290,Outros,Peixes e crustáceos - Peixes frescos ou refrigerados - Outros
03027300,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Peixes e crustáceos - Peixes frescos ou refrigerados - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
03027400,-- Enguias (Anguilla spp.),Peixes e crustáceos - Peixes frescos ou refrigerados - Enguias (Anguilla spp.)
